Search Query,Clicks,Impressions,CTR,Average Position,Query_Modified,CLUSTERS
waze merchandise,24,50,0.4800,1.0,waze merchandise,4
youtube backpack merch,24,82,0.2927,1.0,youtube backpack merchandise,6
youtube official merchandise,24,41,0.5854,1.0,youtube official merchandise,6
youtuber merch stores,24,218,0.1101,3.2,youtube merchandise store,5
a really cool google t-shirt,23,87,0.2644,1.0,really cool google shirt,2
7 dog,22,3011,0.0073,9.1,dog,4
google cycling jersey,22,122,0.1803,1.2,google cycling jersey,7
google notebook,22,7689,0.0029,8.3,google notebook,7
you tube store,22,115,0.1913,1.2,youtube store,6
youtube items,22,180,0.1222,1.2,youtube items,6
youtube webshop,22,76,0.2895,1.9,youtube shop,6
google merch store,21,928,0.0226,1.0,google merchandise store,5
google notebook paper,21,73,0.2877,1.0,google notebook paper,7
polo google,21,180,0.1167,1.7,polo google,7
tensorflow shirt,21,123,0.1707,4.0,tensor flow shirt,4
tensorflow tshirt,21,148,0.1419,3.6,tensor flow shirt,4
youtube printed t shirt,21,326,0.0644,3.6,youtube printed shirt,2
android mug,20,153,0.1307,3.2,android mug,4
backpack google,20,259,0.0772,2.0,backpack google,7
google android toy,20,85,0.2353,2.2,google android toy,7
google t shirts india,20,135,0.1481,4.4,google shirt india,7
merchandise shop,20,1900,0.0105,15.0,merchandise shop,5
youtuber shop,20,857,0.0233,7.5,youtube shop,6
google bike shirt,19,49,0.3878,1.0,google bike shirt,2
google flat front bag grey,19,48,0.3958,1.0,google flat front bag grey,3
google partners water bottle,19,61,0.3115,1.0,google partners water bottle,7
maglia google,19,52,0.3654,1.0,maglia google,7
youtube jackets,19,121,0.1570,1.0,youtube jackets,6
youtube merchandising,19,117,0.1624,2.2,youtube merchandise,6
free google sticker,18,50,0.3600,1.2,free google sticker,7
google logo backpack,18,115,0.1565,1.0,google logo backpack,7
google messenger bag,18,51,0.3529,1.0,google messenger bag,7
google souvenir shop,18,229,0.0786,2.8,google souvenir shop,5
mug google,18,65,0.2769,1.0,mug google,7
redhatter youtube shirt,18,111,0.1622,6.8,youtube shirt,6
youtube stickers,18,962,0.0187,8.4,youtube stickers,6
golang merchandise,17,96,0.1771,6.7,merchandise,4
google caps,17,779,0.0218,2.6,google caps,7
google onesie,17,89,0.1910,1.0,google onesie,7
google store clothing,17,27,0.6296,1.0,google store clothing,5
google store login,17,802,0.0212,5.4,google store login,7
google stylus pen,17,156,0.1090,2.6,google stylus pen,7
google+redesign/shop+by+brand/youtube,17,30,0.5667,1.0,google redesign shop brand youtube,7
jazzybum merch,17,80,0.2125,3.9,merchandise,4
maglietta google,17,99,0.1717,1.3,google,7
google back pack,16,116,0.1379,1.6,google back pack,7
google local guide t shirt,16,262,0.0611,7.2,google local guide shirt,7
google merchandising store,16,545,0.0294,1.0,google merchandise store,5
waze stickers,16,30,0.5333,1.3,waze stickers,4
youtube merch shop,16,112,0.1429,2.2,youtube merchandise shop,5
youtube merchandise sites,16,77,0.2078,2.7,youtube merchandise sites,6
android sticker,15,373,0.0402,6.4,android sticker,4
firebase shirt,15,48,0.3125,1.9,firebase shirt,4
google decal,15,81,0.1852,2.2,google decal,7
google decals,15,67,0.2239,1.0,google decals,7
google pay decals,15,57,0.2632,7.0,google pay decals,7
google review sticker,15,219,0.0685,6.4,google review sticker,7
google store merchandise,15,344,0.0436,1.0,google store merchandise,5
google stylus,15,491,0.0305,4.9,google stylus,7
google thermal bottle white,15,26,0.5769,1.0,google thermal bottle white,3
google t恤,15,68,0.2206,1.6,google,7
how to get youtube t shirt,15,134,0.1119,3.3,get youtube shirt,2
waze t shirt,15,58,0.2586,1.0,waze shirt,2
you tube merchandise,15,354,0.0424,3.9,youtube merchandise,6
youtube creator store,15,277,0.0542,8.8,youtube creator store,6
youtube online store,15,45,0.3333,1.0,youtube online store,6
youtubers merch,15,1880,0.0080,13.0,youtube merchandise,6
android toys,14,581,0.0241,8.0,android toys,5
