Search Query,Clicks,Impressions,CTR,Average Position,Query_Modified,CLUSTERS
the jersey boys youtube,0,4,0.0000,85.0,jersey boys youtube,6
the jester youtube,0,1,0.0000,70.0,jester youtube,6
the journal store,0,1,0.0000,9.0,journal store,5
the jt store,0,4,0.0000,70.0,jt store,5
the keep youtube,0,1,0.0000,55.0,keep youtube,6
the kid t shirt,0,1,0.0000,2.0,kid shirt,2
the kid youtube,0,2,0.0000,70.0,kid youtube,6
the kids shoppe,0,1,0.0000,74.0,kids shop,5
the light pen,0,6,0.0000,49.0,light pen,4
the limited,0,1,0.0000,11.0,limited,4
the limited clothing,0,1,0.0000,6.0,limited clothing,5
the list below shows the prices of t-shirts at a clothing store.,0,1,0.0000,3.0,list shows prices shirt clothing store,5
the local data store is currently in use,0,1,0.0000,65.0,local data store currently use,5
the lowest merch,0,1,0.0000,28.0,lowest merchandise,5
the maker of youtube,0,1,0.0000,100.0,maker youtube,6
the man t shirt,0,2,0.0000,40.0,man shirt,2
the matrix merchandise,0,2,0.0000,38.0,matrix merchandise,5
the maze shop,0,1,0.0000,10.0,maze shop,4
the men store,0,1,0.0000,72.0,men store,5
the men youtube,0,1,0.0000,92.0,men youtube,6
the mens store,0,80,0.0000,95.0,mens store,4
the merch store,0,1,0.0000,3.0,merchandise store,5
the merchandise man,0,7,0.0000,16.0,merchandise man,5
the merchandising shop,0,6,0.0000,4.2,merchandise shop,5
the merchandising store,0,9,0.0000,4.6,merchandise store,5
the moca,0,1,0.0000,2.0,moca,4
the mountain shirt,0,1,0.0000,5.0,mountain shirt,2
the mountain shirts deutschland,0,2,0.0000,43.0,mountain shirt deutschland,2
the mountain t shirt,0,1,0.0000,4.0,mountain shirt,2
the mountain t shirts,0,2,0.0000,91.0,mountain shirt,2
the mountain t shirts deutschland,0,1,0.0000,30.0,mountain shirt deutschland,2
the museum store,0,1,0.0000,6.0,museum store,5
the nest 3rd generation,0,5,0.0000,59.0,nest rd generation,4
the nest app,0,20,0.0000,31.0,nest app,4
the nest canada,0,28,0.0000,7.1,nest canada,4
the nest customer service,0,5,0.0000,21.0,nest customer service,5
the nest indoor camera,0,7,0.0000,58.0,nest indoor camera,4
the nest learning thermostat,0,5,0.0000,100.0,nest learning thermostat,4
the nest outdoor camera,0,2,0.0000,87.0,nest outdoor camera,3
the nest price,0,1,0.0000,100.0,nest price,4
the nest security,0,18,0.0000,65.0,nest security,4
the nest security camera,0,10,0.0000,77.0,nest security camera,4
the nest shop,0,1,0.0000,46.0,nest shop,4
the nest smart thermostat,0,3,0.0000,100.0,nest smart thermostat,4
the nest smoke alarm,0,6,0.0000,81.0,nest smoke alarm,3
the nest thermostat app,0,5,0.0000,37.0,nest thermostat app,4
the nest thermostat canada,0,2,0.0000,17.0,nest thermostat canada,4
the nest thermostat e,0,2,0.0000,89.0,nest thermostat e,4
the new school merchandise,0,2,0.0000,74.0,new school merchandise,5
the new school sweatshirt,0,1,0.0000,92.0,new school shirt,2
the next pen,0,1,0.0000,59.0,next pen,4
the notebook full movie online free youtube,0,1,0.0000,26.0,notebook full movie online free youtube,6
the notebook merchandise,0,4,0.0000,7.3,notebook merchandise,4
the notebook youtube,0,1,0.0000,94.0,notebook youtube,6
the notebook youtube full,0,1,0.0000,47.0,notebook youtube full,6
the numbers of cookies in a shipment of bags are normally,0,1,0.0000,18.0,numbers cookies shipment bags normally,3
the office apparel,0,32,0.0000,70.0,office apparel,5
the office baby clothes,0,2,0.0000,9.0,office baby clothes,5
the office baby onesie,0,4,0.0000,49.0,office baby onesie,4
the office baby onesies,0,1,0.0000,35.0,office baby onesies,4
the office clothes shop,0,1,0.0000,17.0,office clothes shop,5
the office crew neck sweatshirt,0,1,0.0000,45.0,office crew neck shirt,2
the office hoodie,0,4,0.0000,38.0,office hoodie,4
the office laptop sticker,0,1,0.0000,30.0,office laptop sticker,3
the office laptop stickers,0,7,0.0000,36.0,office laptop stickers,3
the office memorabilia,0,12,0.0000,51.0,office memorabilia,5
the office merch,0,232,0.0000,53.0,office merchandise,5
the office merchandise,0,426,0.0000,36.0,office merchandise,5
the office merchandise canada,0,1,0.0000,16.0,office merchandise canada,5
the office merchandise europe,0,1,0.0000,20.0,office merchandise europe,5
the office merchandise in stores,0,8,0.0000,9.8,office merchandise store,5
the office merchandise india,0,2,0.0000,39.0,office merchandise india,5
the office merchandise near me,0,19,0.0000,10.0,office merchandise near,5
the office merchandise uk,0,2,0.0000,59.0,office merchandise uk,5
the office merchandising,0,1,0.0000,10.0,office merchandise,5
the office mug,0,1,0.0000,93.0,office mug,4
the office notebook,0,4,0.0000,4.5,office notebook,4
the office onesie,0,4,0.0000,70.0,office onesie,4
the office onesie for adults,0,2,0.0000,60.0,office onesie adults,4
the office onesies,0,1,0.0000,38.0,office onesies,4
the office pen,0,5,0.0000,2.2,office pen,4
the office shirt,0,2,0.0000,62.0,office shirt,2
the office shirts,0,9,0.0000,56.0,office shirt,2
the office shop,0,1,0.0000,65.0,office shop,5
the office souvenirs,0,1,0.0000,82.0,office souvenirs,4
the office sticker pack,0,4,0.0000,49.0,office sticker pack,3
the office stickers,0,4,0.0000,74.0,office stickers,4
the office store,0,15,0.0000,71.0,office store,5
the office sweatshirt,0,1,0.0000,24.0,office shirt,2
the office sweatshirts,0,1,0.0000,20.0,office shirt,2
the office t,0,1,0.0000,94.0,office,4
the office t shirt,0,6,0.0000,55.0,office shirt,2
the office t shirts,0,33,0.0000,63.0,office shirt,2
the office t shirts canada,0,1,0.0000,80.0,office shirt canada,2
the office t shirts india,0,3,0.0000,71.0,office shirt india,2
the office t-shirts,0,25,0.0000,71.0,office shirt,2
the office tee shirts,0,2,0.0000,71.0,office t-shirt shirt,2
the office tees,0,1,0.0000,30.0,office t-shirt,4
the office tshirt,0,1,0.0000,77.0,office shirt,2
the office tshirts,0,4,0.0000,82.0,office shirt,2
the office tv show merchandise,0,12,0.0000,69.0,office tv show merchandise,5
the office uk merchandise,0,2,0.0000,86.0,office uk merchandise,5
the office uk youtube,0,2,0.0000,40.0,office uk youtube,6
the office us merchandise,0,6,0.0000,28.0,office us merchandise,5
the office you tube,0,1,0.0000,50.0,office youtube,6
the office youtube,0,4,0.0000,45.0,office youtube,6
the official google,0,1,0.0000,84.0,official google,7
the official youtube,0,21,0.0000,22.0,official youtube,6
the official youtube channel,0,9,0.0000,63.0,official youtube channel,6
the official youtube channel for,0,6,0.0000,76.0,official youtube channel,6
the onesie shop,0,5,0.0000,74.0,onesie shop,4
the onesie store,0,14,0.0000,50.0,onesie store,4
the option google,0,1,0.0000,160.0,option google,7
the option google product,0,5,0.0000,47.0,option google product,7
the order the,0,2,0.0000,160.0,order,4
the order time,0,1,0.0000,110.0,order time,4
the original gift company discount code,0,1,0.0000,82.0,original gift company discount code,5
the original t shirt,0,2,0.0000,74.0,original shirt,2
the pack merch,0,1,0.0000,79.0,pack merchandise,5
the pack shop,0,2,0.0000,95.0,pack shop,5
the pack youtube,0,7,0.0000,18.0,pack youtube,6
the packaging source coupon code,0,1,0.0000,53.0,packaging source coupon code,5
the pals merch store,0,2,0.0000,21.0,pals merchandise store,5
the pals merchandise,0,1,0.0000,89.0,pals merchandise,5
the pals store,0,3,0.0000,88.0,pals store,5
the pals youtube,0,6,0.0000,54.0,pals youtube,6
the pals youtube merch,0,1,0.0000,29.0,pals youtube merchandise,6
the pals.store backpack,0,1,0.0000,45.0,pals store backpack,5
the paper mill store promo code,0,1,0.0000,97.0,paper mill store promo code,5
the pen is red,0,3,0.0000,49.0,pen red,2
the pen shop dublin,0,1,0.0000,83.0,pen shop dublin,5
the perfect backpack,0,19,0.0000,85.0,perfect backpack,4
the perfect bag company,0,2,0.0000,78.0,perfect bag company,3
the perfect cloth,0,4,0.0000,55.0,perfect cloth,4
the perfect fan youtube,0,1,0.0000,63.0,perfect fan youtube,6
the perfect gift,0,1,0.0000,1.0,perfect gift,4
the perfect man youtube,0,1,0.0000,57.0,perfect man youtube,6
the play store,0,5,0.0000,120.0,play store,5
the policy shop,0,1,0.0000,200.0,policy shop,5
the postal store coupon code,0,1,0.0000,75.0,postal store coupon code,5
the pouch shop,0,1,0.0000,69.0,pouch shop,3
the price family youtube,0,1,0.0000,42.0,price family youtube,6
the product(s) in your shopping cart is/are currently not available for order,0,1,0.0000,8.0,product shop cart currently available order,5
the product(s) in your shopping cart is/are currently not available for order.,0,22,0.0000,7.5,product shop cart currently available order,5
the products you selected can’t be delivered to your shipping address. please choose other products!,0,26,0.0000,8.5,products selected delivered shipping address please choose products,0
the protector youtube,0,1,0.0000,59.0,protector youtube,6
the regal,0,1,0.0000,1.0,regal,4
the s men,0,1,0.0000,33.0,men,4
the sack backpack,0,1,0.0000,61.0,sack backpack,4
the secret ninja,0,6,0.0000,72.0,secret ninja,4
"the service used to send this item only provides an update once we have received the item in our network. please allow up to 3 working days for delivery, depending on the service used",0,14,0.0000,9.7,service used send item provides update received item network please allow working days delivery depending service used,0
the set shop nyc,0,1,0.0000,95.0,set shop nyc,5
the ship merch,0,184,0.0000,19.0,ship merchandise,5
the shipping method has been changed due to the change of your shipping address,0,1,0.0000,52.0,shipping method changed due change shipping address,0
the shipping method has been changed due to the change of your shipping address.,0,4,0.0000,38.0,shipping method changed due change shipping address,0
the shipping mill,0,3,0.0000,79.0,shipping mill,4
the shirt,0,2,0.0000,1.0,shirt,2
the shirt shop,0,10,0.0000,82.0,shirt shop,2
the shirt shop sydney,0,3,0.0000,74.0,shirt shop sydney,2
the shirt store,0,5,0.0000,22.0,shirt store,2
the shirts,0,3,0.0000,2.0,shirt,2
the shop,0,8,0.0000,48.0,shop,4
the shop youtube,0,179,0.0000,9.4,shop youtube,6
the small shop,0,1,0.0000,94.0,small shop,5
the sock shop,0,1,0.0000,78.0,sock shop,5
the standard journal,0,11,0.0000,23.0,android journal,7
the store,0,4,0.0000,1.3,store,5
the stylus shop,0,6,0.0000,78.0,stylus shop,4
the sub youtube,0,1,0.0000,84.0,sub youtube,6
the sun song youtube,0,1,0.0000,93.0,sun song youtube,6
the sun you tube,0,3,0.0000,26.0,sun youtube,6
the sun youtube,0,4,0.0000,22.0,sun youtube,6
the sunglasses shop,0,1,0.0000,81.0,sunglasses shop,5
the sunglasses store,0,18,0.0000,22.0,sunglasses store,5
the supplier is processing your order,0,25,0.0000,47.0,supplier processing order,5
the swag store,0,8,0.0000,4.9,swag store,5
the sweatshirt shop,0,1,0.0000,11.0,shirt shop,2
the t shirt,0,1,0.0000,92.0,shirt,2
the t shirt grey,0,2,0.0000,1.0,shirt grey,2
the t shirt shop,0,27,0.0000,37.0,shirt shop,2
the t shirt shoppe,0,4,0.0000,61.0,shirt shop,2
the t shirt store,0,9,0.0000,27.0,shirt store,2
the t shirts,0,4,0.0000,57.0,shirt,2
the t store,0,1,0.0000,80.0,store,5
the t youtube,0,1,0.0000,10.0,youtube,6
the t-shirt,0,1,0.0000,2.0,shirt,2
the t-shirt shop,0,2,0.0000,50.0,shirt shop,2
the t-shirt store,0,2,0.0000,24.0,shirt store,2
the t-shirts,0,1,0.0000,2.0,shirt,2
the tee shirt,0,1,0.0000,27.0,t-shirt shirt,2
the tee shirt shop,0,23,0.0000,40.0,t-shirt shirt shop,2
the tee shirt store,0,4,0.0000,40.0,t-shirt shirt store,2
the tee shop brand,0,4,0.0000,24.0,t-shirt shop brand,5
the tee store,0,2,0.0000,83.0,t-shirt store,5
the terms service google product,0,8,0.0000,82.0,terms service google product,7
the terrorizer youtube,0,10,0.0000,11.0,terrorizer youtube,6
the tgf store,0,7,0.0000,80.0,tgf store,4
the tgf store.com,0,2,0.0000,20.0,tgf store com,7
the the t shirt,0,29,0.0000,35.0,shirt,2
the the t shirts,0,22,0.0000,42.0,shirt,2
the the t-shirt,0,3,0.0000,9.0,shirt,2
the the tshirt,0,1,0.0000,11.0,shirt,2
the the youtube,0,1,0.0000,75.0,youtube,6
the things youtube,0,1,0.0000,89.0,things youtube,6
the thrift shop,0,1,0.0000,5.0,thrift shop,5
the time between when an order is placed and when it is delivered is known as,0,1,0.0000,10.0,time order placed delivered known,5
the time between when an order is placed and when it is delivered is known as the,0,26,0.0000,8.9,time order placed delivered known,5
the town tee shirt,0,3,0.0000,85.0,town t-shirt shirt,2
the try guys merch,0,1,0.0000,44.0,try guys merchandise,5
the try guys shirt,0,2,0.0000,30.0,try guys shirt,2
the try guys youtube,0,5,0.0000,86.0,try guys youtube,6
the try guys youtube channel,0,2,0.0000,70.0,try guys youtube channel,6
the tshirt shop,0,1,0.0000,37.0,shirt shop,2
the tshirt store,0,2,0.0000,21.0,shirt store,2
the tshirt store online,0,2,0.0000,66.0,shirt store online,5
the tube store,0,1,0.0000,45.0,youtube store,6
the united states google,0,1,0.0000,130.0,united states google,7
the vie shop online,0,4,0.0000,7.8,vie shop online,5
the view merchandise,0,2,0.0000,35.0,view merchandise,4
the view store merchandise,0,1,0.0000,16.0,view store merchandise,5
the view t shirt,0,1,0.0000,33.0,view shirt,2
the view women,0,1,0.0000,120.0,view women,4
the walking company palo alto,0,1,0.0000,2.0,walking company palo alto,5
the walking dead merchandise store,0,2,0.0000,6.5,walking dead merchandise store,5
the warm bag for sale,0,1,0.0000,54.0,warm bag sale,3
the wase,0,1,0.0000,10.0,wase,4
the water,0,1,0.0000,8.0,water,4
the water bottle store,0,7,0.0000,25.0,water bottle store,3
the waze,0,30,0.0000,27.0,waze,4
the weeknd shop shipping,0,1,0.0000,6.0,weeknd shop shipping,5
the white youtuber,0,9,0.0000,50.0,white youtube,6
the who apparel,0,18,0.0000,29.0,apparel,4
the who clothing,0,1,0.0000,150.0,clothing,4
the who merchandise,0,36,0.0000,37.0,merchandise,4
the who shop,0,1,0.0000,74.0,shop,4
the who shop london,0,1,0.0000,73.0,shop london,5
the who stickers,0,3,0.0000,48.0,stickers,4
the who t shirt,0,26,0.0000,76.0,shirt,2
the who t shirts,0,8,0.0000,71.0,shirt,2
the who t-shirt,0,1,0.0000,80.0,shirt,2
the who t-shirts,0,4,0.0000,95.0,shirt,2
the who tee shirt,0,20,0.0000,54.0,t-shirt shirt,2
the who tee shirts,0,26,0.0000,60.0,t-shirt shirt,2
the who you tube,0,4,0.0000,33.0,youtube,6
the who youtube,0,4,0.0000,62.0,youtube,6
the wooly hat shop,0,4,0.0000,54.0,wooly hat shop,2
the word mark,0,1,0.0000,190.0,word mark,4
the world android,0,1,0.0000,35.0,world android,4
the writing pen store,0,1,0.0000,48.0,writing pen store,5
the writing shop,0,1,0.0000,80.0,writing shop,5
the writing store,0,7,0.0000,28.0,writing store,5
the yellow bottle,0,1,0.0000,49.0,yellow bottle,3
the you tube,0,6,0.0000,14.0,youtube,6
the you tubes,0,6,0.0000,61.0,tubes,4
the yout,0,2,0.0000,68.0,youtube,6
the youtub3 family,0,5,0.0000,85.0,youtube family,6
the youtube,0,10,0.0000,33.0,youtube,6
the youtube com,0,2,0.0000,51.0,youtube com,6
the youtube family,0,5,0.0000,73.0,youtube family,6
the youtube family 3,0,1,0.0000,61.0,youtube family,6
the youtuber,0,1,0.0000,8.0,youtube,6
the youtuber pack,0,1,0.0000,48.0,youtube pack,6
the youtuber pack 3.0,0,3,0.0000,13.0,youtube pack,6
the youtuber sketch,0,1,0.0000,67.0,youtube sketch,6
the youtubes,0,2,0.0000,41.0,youtube,6
the yt,0,1,0.0000,50.0,yt,4
theater merchandise,0,1,0.0000,3.0,theater merchandise,5
thebestofyoutube,0,1,0.0000,93.0,youtube,6
their shirts,0,1,0.0000,3.0,shirt,2
themed shirts,0,18,0.0000,28.0,themed shirt,2
themed t shirts,0,2,0.0000,84.0,themed shirt,2
themed tee shirts,0,1,0.0000,75.0,themed t-shirt shirt,2
theory shop,0,1,0.0000,2.0,theory shop,4
there are no shipping methods available for your cart or destination,0,1,0.0000,74.0,shipping methods available cart destination,5
there are no shipping methods available for your cart or destination.,0,7,0.0000,71.0,shipping methods available cart destination,5
there are no shipping methods available. please ensure that your address has been entered correctly,0,3,0.0000,47.0,shipping methods available please ensure address entered correctly,0
"there are no shipping methods available. please ensure that your address has been entered correctly, or contact us if you need any help",0,7,0.0000,28.0,shipping methods available please ensure address entered correctly contact us need help,0
"there are no shipping methods available. please ensure that your address has been entered correctly, or contact us if you need any help.",0,35,0.0000,28.0,shipping methods available please ensure address entered correctly contact us need help,0
there is more hoodie,0,1,0.0000,5.0,hoodie,4
there is more sweatshirt,0,1,0.0000,10.0,shirt,2
there is no cloud sticker,0,5,0.0000,70.0,cloud sticker,4
there was a problem processing your order. you will not be able to access your account or place orders with us until we confirm your information.,0,2,0.0000,35.0,problem processing order able access account place orders us confirm information,0
therm flask,0,1,0.0000,100.0,therm flask,4
therma bottle,0,18,0.0000,8.8,therma bottle,4
thermal android,0,2,0.0000,78.0,thermal android,4
thermal blue,0,8,0.0000,29.0,thermal blue,4
thermal bottle bag,0,2,0.0000,83.0,thermal bottle bag,3
thermal bottle for coffee,0,1,0.0000,29.0,thermal bottle,3
thermal ceramic mug,0,54,0.0000,88.0,thermal ceramic mug,3
thermal coffee bottle,0,4,0.0000,24.0,thermal bottle,3
thermal coffee cup,0,87,0.0000,44.0,thermal cup,4
thermal coffee cups,0,88,0.0000,62.0,thermal cups,4
thermal coffee mug,0,19,0.0000,67.0,thermal mug,4
thermal cup,0,111,0.0000,56.0,thermal cup,4
thermal cups,0,109,0.0000,75.0,thermal cups,4
thermal drink container,0,5,0.0000,37.0,thermal drink container,3
thermal drinking cups,0,2,0.0000,59.0,thermal drinking cups,3
thermal drinking glasses,0,10,0.0000,90.0,thermal drinking glasses,3
thermal drinking mugs,0,84,0.0000,50.0,thermal drinking mugs,3
thermal drinks bottle,0,3,0.0000,41.0,thermal drinks bottle,3
thermal drinkware,0,10,0.0000,15.0,thermal drink ware,3
thermal glass coffee mugs,0,2,0.0000,93.0,thermal glass mugs,3
thermal glass cup,0,2,0.0000,80.0,thermal glass cup,3
thermal google,0,39,0.0000,7.3,thermal google,7
thermal googles,0,1,0.0000,3.0,thermal google,7
thermal insulated bottle,0,5,0.0000,18.0,thermal insulated bottle,3
thermal insulated cup,0,1,0.0000,33.0,thermal insulated cup,3
thermal insulated cups,0,2,0.0000,56.0,thermal insulated cups,3
thermal insulated water bottle,0,3,0.0000,60.0,thermal insulated water bottle,3
thermal shop,0,6,0.0000,47.0,thermal shop,4
thermal sleeve for water bottle,0,1,0.0000,30.0,thermal sleeve water bottle,3
thermal tea mug,0,1,0.0000,98.0,thermal tea mug,3
thermal tumbler,0,24,0.0000,80.0,thermal tumbler,4
thermal tumblers,0,262,0.0000,84.0,thermal tumblers,4
thermal water bag,0,4,0.0000,38.0,thermal water bag,3
thermal water bottle,0,237,0.0000,45.0,thermal water bottle,3
thermal water bottle cover,0,1,0.0000,72.0,thermal water bottle cover,3
thermal water bottle online,0,1,0.0000,49.0,thermal water bottle online,3
thermal water bottles,0,99,0.0000,14.0,thermal water bottles,3
thermal water container,0,3,0.0000,31.0,thermal water container,3
thermal water flask,0,5,0.0000,9.2,thermal water flask,3
thermal water jug,0,6,0.0000,45.0,thermal water jug,3
thermal white,0,7,0.0000,33.0,thermal white,4
thermaq blue,0,2,0.0000,22.0,blue,4
thermic cup,0,1,0.0000,19.0,thermic cup,4
thermo bottle,0,1,0.0000,97.0,thermo bottle,4
thermo coffee cup,0,2,0.0000,86.0,thermo cup,4
thermo coffee mug,0,4,0.0000,92.0,thermo mug,4
thermo cup for coffee,0,3,0.0000,86.0,thermo cup,4
thermo cups for sale,0,2,0.0000,66.0,thermo cups sale,4
thermo flask accessories,0,1,0.0000,63.0,thermo flask accessories,3
thermo glass bottle,0,2,0.0000,77.0,thermo glass bottle,3
thermo insulated mug,0,1,0.0000,97.0,thermo insulated mug,4
thermo mugs,0,1,0.0000,96.0,thermo mugs,4
thermo store,0,6,0.0000,76.0,thermo store,4
thermos 25 oz,0,6,0.0000,87.0,thermos oz,4
thermos add a cup,0,8,0.0000,79.0,thermos add cup,3
thermos beverage bottle,0,1,0.0000,100.0,thermos beverage bottle,3
thermos bottles for coffee,0,7,0.0000,88.0,thermos bottles,3
thermos brand coffee mug,0,1,0.0000,97.0,thermos brand mug,3
thermos brand cups,0,3,0.0000,88.0,thermos brand cups,3
thermos brand travel mug,0,1,0.0000,81.0,thermos brand travel mug,3
thermos brand water bottle,0,2,0.0000,89.0,thermos brand water bottle,3
thermos brand water bottles,0,3,0.0000,85.0,thermos brand water bottles,3
thermos cap,0,1,0.0000,95.0,thermos cap,4
thermos coffee cup,0,1,0.0000,93.0,thermos cup,4
thermos cup price,0,7,0.0000,29.0,thermos cup price,3
thermos drinking bottle,0,1,0.0000,96.0,thermos drinking bottle,3
thermos drinks bottle,0,1,0.0000,87.0,thermos drinks bottle,3
thermos drinkware,0,4,0.0000,40.0,thermos drink ware,3
thermos insulated water bottle,0,1,0.0000,93.0,thermos insulated water bottle,3
thermos mugs,0,1,0.0000,88.0,thermos mugs,3
thermos online store,0,1,0.0000,91.0,thermos online store,5
thermos thermal cup,0,1,0.0000,100.0,thermos thermal cup,3
thermos water bottle replacement lid,0,1,0.0000,94.0,thermos water bottle replacement lid,3
thermos water bottle replacement parts,0,1,0.0000,84.0,thermos water bottle replacement parts,3
thermos water bottles,0,3,0.0000,97.0,thermos water bottles,3
thermos youtube,0,9,0.0000,41.0,thermos youtube,6
thermostat e,0,1,0.0000,71.0,thermostat e,4
thermostat nest,0,14,0.0000,56.0,thermostat nest,4
thermostat rebate finder,0,2,0.0000,35.0,thermostat rebate finder,4
thermostat stickers,0,3,0.0000,31.0,thermostat stickers,4
these bags,0,2,0.0000,73.0,bags,3
these days jacket,0,2,0.0000,9.0,days jacket,2
these eyes youtube,0,1,0.0000,86.0,eyes youtube,6
these items are,0,2,0.0000,180.0,items,4
thi shirt,0,1,0.0000,10.0,thi shirt,2
thing to do near me,0,1,0.0000,1.0,thing near,4
things near me,0,1,0.0000,1.0,things near,4
things to do in the morning near me,0,1,0.0000,1.0,things morning near,5
things to do on friday,0,1,0.0000,8.0,things friday,4
things to do with kids near me,0,1,0.0000,1.0,things kids near,5
things to search on youtube,0,1,0.0000,78.0,things search youtube,6
things to see near me,0,1,0.0000,1.0,things see near,5
things to youtube,0,1,0.0000,77.0,things youtube,6
thirt,0,101,0.0000,66.0,non ascii symbols punctuations numbers,1
thirt shirt,0,4,0.0000,7.0,shirt,2
thirt shop,0,1,0.0000,9.0,shop,4
thirt store,0,1,0.0000,11.0,store,5
thirts,0,5,0.0000,13.0,non ascii symbols punctuations numbers,1
this & that store,0,1,0.0000,88.0,store,5
this and that store,0,1,0.0000,1.0,store,5
this android,0,2,0.0000,12.0,android,4
this close emoji,0,1,0.0000,97.0,close emotion,4
this code can't be used with the shipping option you selected.,0,3,0.0000,8.3,code used shipping option selected,5
this google,0,15,0.0000,15.0,google,7
this is a tea shirt,0,1,0.0000,4.0,tea shirt,2
this is currently the only shipping method available to use on this order.,0,3,0.0000,8.3,currently shipping method available use order,0
this is great clothing,0,1,0.0000,7.0,great clothing,5
this is home t shirt,0,2,0.0000,52.0,home shirt,2
this is it t shirt,0,2,0.0000,70.0,shirt,2
this is la youtube,0,1,0.0000,43.0,la youtube,6
this is me merchandise,0,4,0.0000,9.3,merchandise,4
this is me shirt greatest showman,0,1,0.0000,73.0,shirt greatest showman,2
this is me t shirt,0,3,0.0000,55.0,shirt,2
this is my favorite tee,0,1,0.0000,88.0,favorite t-shirt,4
this is my tea shirt,0,2,0.0000,78.0,tea shirt,2
this is not a t shirt,0,1,0.0000,84.0,shirt,2
this is the order,0,1,0.0000,22.0,order,4
this is us tv show merchandise,0,5,0.0000,73.0,us tv show merchandise,5
this item also,0,3,0.0000,170.0,item also,4
this item can't be shipped to your selected address,0,1,0.0000,64.0,item shipped selected address,5
this item cannot be shipped to your selected location,0,1,0.0000,66.0,item cannot shipped selected location,5
this item cannot be shipped to your selected location.,0,2,0.0000,75.0,item cannot shipped selected location,5
this item cannot be shipped to your selected location. california,0,2,0.0000,15.0,item cannot shipped selected location california,5
this item does not ship to,0,1,0.0000,64.0,item ship,4
this item does not ship to your selected location,0,4,0.0000,31.0,item ship selected location,5
this item from,0,1,0.0000,190.0,item,4
"this item located outside your country, it can't be added to your cart",0,1,0.0000,9.0,item located outside country added cart,5
this item requires special handling and cannot be shipped to your selected location,0,6,0.0000,14.0,item requires special handling cannot shipped selected location,0
this item requires special handling and cannot be shipped to your selected location.,0,24,0.0000,13.0,item requires special handling cannot shipped selected location,0
this item ships to,0,1,0.0000,71.0,item ships,4
this mean order show you,0,2,0.0000,84.0,mean order show,5
this might get merch,0,94,0.0000,9.1,might get merchandise,5
this might get merchandise,0,2,0.0000,7.5,might get merchandise,5
this order contains a gift,0,14,0.0000,63.0,order contains gift,5
this order is not yet available for tracking. please verify whether you have typed your data correctly or check back in a few hours.,0,12,0.0000,6.8,order yet available tracking please verify whether typed data correctly check back hours,0
this pen is red,0,7,0.0000,53.0,pen red,2
this product can't be shipped to the selected region.,0,4,0.0000,20.0,product shipped selected region,5
this product does not support the selected shipping option shopee,0,3,0.0000,13.0,product support selected shipping option shop,5
this product does not support the selected shipping option.,0,56,0.0000,9.5,product support selected shipping option,5
this shipping company requires some additional information. this information will be passed on to your local customs office to ensure faster delivery of your package. please fill in the form below.,0,8,0.0000,15.0,shipping company requires additional information information passed local customs office ensure faster delivery package please fill form,0
"this shipping method is currently unavailable. if you would like to ship using this shipping method, please contact us.",0,5,0.0000,16.0,shipping method currently unavailable would like ship using shipping method please contact us,0
"this shipping method is not available. to use this shipping method, please contact us.",0,1,0.0000,55.0,shipping method available use shipping method please contact us,0
this t,0,4,0.0000,75.0,non ascii symbols punctuations numbers,1
this the official youtube,0,8,0.0000,27.0,official youtube,6
this the official youtube channel,0,6,0.0000,50.0,official youtube channel,6
this website may,0,2,0.0000,82.0,website may,6
this youtube,0,7,0.0000,8.9,youtube,6
thrasher clothing,0,2,0.0000,5.5,thrasher clothing,4
thrasher magazine stickers,0,1,0.0000,79.0,thrasher magazine stickers,3
thrasher sticker,0,1,0.0000,93.0,thrasher sticker,4
thrasher tee,0,1,0.0000,89.0,thrasher t-shirt,4
through the black youtube,0,2,0.0000,45.0,black youtube,6
throwback shirt,0,12,0.0000,37.0,throwback shirt,2
throwback shirts,0,57,0.0000,41.0,throwback shirt,2
throwback tshirts,0,1,0.0000,8.0,throwback shirt,2
thshirts,0,2,0.0000,5.5,shirt,2
thsirt,0,1,0.0000,1.0,non ascii symbols punctuations numbers,1
thsirts,0,1,0.0000,6.0,non ascii symbols punctuations numbers,1
ti shart,0,1,0.0000,98.0,ti shirt,2
tibia merchandise,0,1,0.0000,14.0,tibia merchandise,4
tibia store,0,1,0.0000,96.0,tibia store,4
tie shop near me,0,1,0.0000,1.0,tie shop near,5
tienda,0,2,0.0000,1.0,tienda,4
tienda android,0,17,0.0000,41.0,tienda android,4
tienda de android,0,1,0.0000,2.0,tienda de android,7
tienda de goo,0,7,0.0000,43.0,tienda de goo,4
tienda de merchandising,0,1,0.0000,1.0,tienda de merchandise,4
tienda de souvenirs near me,0,1,0.0000,1.0,tienda de souvenirs near,4
tienda ggogle,0,2,0.0000,9.0,tienda google,7
tienda goggle,0,1,0.0000,10.0,tienda google,7
tienda gogle,0,3,0.0000,9.3,tienda google,7
tienda goo,0,12,0.0000,9.3,tienda goo,4
tienda googl,0,4,0.0000,9.3,tienda google,7
tienda google,0,382,0.0000,22.0,tienda google,7
tienda google store,0,2,0.0000,7.5,tienda google store,7
tienda if,0,1,0.0000,120.0,tienda,4
tienda merchandising online,0,1,0.0000,2.0,tienda merchandise online,5
tienda re,0,1,0.0000,19.0,tienda,4
tienda stickers,0,3,0.0000,18.0,tienda stickers,4
