Search Query,Clicks,Impressions,CTR,Average Position
ifam merchandise,5,202,0.0248,8.4
kids merchandise,5,217,0.0230,3.1
merch youtuber,5,473,0.0106,8.2
merchandise backpacks,5,61,0.0820,2.3
morebags,5,50,0.1000,2.0
perfectlaughs merch,5,472,0.0106,8.7
review google on us decals,5,35,0.1429,6.5
review us on google stickers,5,54,0.0926,6.4
review us on google window stickers,5,32,0.1562,9.9
shirt store,5,574,0.0087,14.0
shop apparel,5,250,0.0200,6.0
store merchandise,5,215,0.0233,4.6
store shirts,5,154,0.0325,4.0
sweater google,5,64,0.0781,1.5
t shirts store,5,333,0.0150,12.0
tee shirt store,5,319,0.0157,13.0
tote bag google,5,32,0.1562,1.1
tshirt youtube,5,162,0.0309,3.1
waze clothing,5,102,0.0490,4.2
youtube fan shop,5,21,0.2381,1.6
youtube t,5,7089,0.0007,5.8
youtube t shirt black,5,41,0.1220,1.9
youtube wordmark crew grey,5,12,0.4167,1.0
youtube youtube youtube sweatshirt,5,39,0.1282,1.9
youtuber shops,5,251,0.0199,8.4
гугл мерч,5,98,0.0510,2.2
グーグル tシャツ,5,126,0.0397,2.6
/google+redesign/accessories,4,10,0.4000,1.0
android cap,4,98,0.0408,4.8
android clothing store,4,8,0.5000,1.0
android figur,4,71,0.0563,19.0
android jacket,4,247,0.0162,6.9
android mascot toy,4,59,0.0678,8.4
apparel & t shirts online store,4,25,0.1600,9.6
as seen on youtube shirt,4,40,0.1000,2.1
baby merchandise,4,467,0.0086,11.0
custom youtube shirts,4,52,0.0769,4.1
firebase t-shirt,4,9,0.4444,1.9
flamingo merch youtube,4,17,0.2353,3.4
flutter tshirt,4,14,0.2857,5.9
gogle t,4,4500,0.0009,4.8
google baseball hat,4,31,0.1290,1.2
google brand store,4,67,0.0597,1.0
google coffee cup,4,62,0.0645,1.2
google developers t shirt,4,57,0.0702,8.3
google gift shop mountain view,4,76,0.0526,1.7
google kids,4,2743,0.0015,11.0
google logo sunglasses,4,35,0.1143,1.1
google mechandise store,4,59,0.0678,1.0
google nest canada,4,192,0.0208,5.8
google shop merchandise,4,63,0.0635,1.0
google stickers india,4,49,0.0816,7.1
google store merch,4,30,0.1333,1.0
google store shipping,4,147,0.0272,3.6
google store tracking,4,176,0.0227,5.2
google water,4,33950,0.0001,6.8
google waterbottle,4,18,0.2222,1.1
googlemen,4,93,0.0430,4.7
googler hat,4,96,0.0417,1.1
googleshop,4,818,0.0049,8.1
headgear shop,4,10,0.4000,3.5
how to get google t shirt,4,37,0.1081,2.7
how to get youtube t shirt free,4,37,0.1081,4.3
merch for youtube,4,165,0.0242,8.0
merch google,4,83,0.0482,1.0
merchandise apparel,4,100,0.0400,2.4
merchandise for youtubers,4,90,0.0444,8.8
more bag,4,75,0.0533,2.6
nest usa,4,303,0.0132,7.1
pixelbook return policy,4,12,0.3333,4.3
shirt youtube,4,82,0.0488,3.0
shop merchandise,4,131,0.0305,4.0
shop youtuber,4,66,0.0606,6.7
shop.google,4,406,0.0099,6.0
store t shirt,4,88,0.0455,5.1
that youtube family merchandise,4,121,0.0331,5.5
thermal bottle,4,1678,0.0024,14.0
timbuk2 flip pack,4,193,0.0207,3.2
waze ninja,4,88,0.0455,5.0
yotube merch,4,23,0.1739,1.1
youtbe merch,4,11,0.3636,1.5
youtub shop,4,9,0.4444,1.6
youtube boutique,4,105,0.0381,6.5
youtube brand,4,1210,0.0033,8.7
youtube clothing brands,4,47,0.0851,4.5
youtube creator merchandise,4,48,0.0833,5.5
youtube gaming shirt,4,119,0.0336,6.9
